Wall time,Step,Value
1639055041.7891393,1,0.533390543460846
1639055044.0453558,11,0.5416131019592285
1639055045.3278835,21,0.5400319695472717
1639055046.3359475,31,0.5406907796859741
1639055047.3123124,41,0.5403039455413818
1639055048.4783325,51,0.5398215651512146
1639055049.56522,61,0.5395142436027527
1639055050.7480621,71,0.5396767258644104
1639055051.686552,81,0.539732813835144
1639055052.725803,91,0.5397853851318359
1639055053.778679,101,0.5398776531219482
1639055054.8528054,111,0.5398905873298645
1639055055.7884698,121,0.5397412776947021
1639055056.8954146,131,0.5395998358726501
1639055057.8901408,141,0.5394008755683899
1639055058.9433231,151,0.5392862558364868
1639055060.0043838,161,0.5391573905944824
1639055060.9865496,171,0.5390129089355469
1639055062.1734767,181,0.5388699769973755
1639055063.2655227,191,0.5385992527008057
1639055064.2954104,201,0.5383209586143494
1639055065.3404508,211,0.5381165742874146
1639055066.3208292,221,0.5379550457000732
1639055067.438129,231,0.5377882719039917
1639055068.502982,241,0.5375867486000061
1639055069.456432,251,0.537392795085907
1639055070.5388331,261,0.5372214317321777
1639055071.714095,271,0.5370355248451233
1639055072.7858536,281,0.5368815660476685
1639055073.7273364,291,0.5367512702941895
1639055074.9215238,301,0.5366212129592896
1639055075.9178638,311,0.5364934802055359
1639055077.0762777,321,0.5363620519638062
1639055078.0213547,331,0.5362147688865662
1639055078.9886491,341,0.5360714793205261
1639055080.1914358,351,0.5359294414520264
1639055081.173671,361,0.5357720851898193
1639055082.1103835,371,0.5356285572052002
1639055083.2629464,381,0.5355010032653809
1639055084.2383845,391,0.5353978276252747
1639055085.3080335,401,0.5353082418441772
1639055086.3103,411,0.5352256894111633
1639055087.223685,421,0.5351586937904358
1639055088.3342302,431,0.5351025462150574
1639055089.2887325,441,0.535065233707428
1639055090.2215364,451,0.5350363254547119
1639055091.3696542,461,0.5350083708763123
1639055092.4723396,471,0.5349866151809692
1639055093.5644937,481,0.5349663496017456
1639055094.624781,491,0.5349613428115845
1639055095.7480395,501,0.534961462020874
1639055096.731924,511,0.5349620580673218
1639055097.9616563,521,0.5349664092063904
1639055098.927186,531,0.5349675416946411
1639055100.1107018,541,0.5349704027175903
1639055101.1345053,551,0.5349733829498291
1639055102.2510998,561,0.5349759459495544
1639055103.2708604,571,0.5349797606468201
1639055104.2364163,581,0.5349776744842529
1639055105.4522526,591,0.5349713563919067
1639055106.706152,601,0.5349671244621277
1639055107.7334254,611,0.5349624752998352
1639055108.6772053,621,0.5349504947662354
1639055109.851228,631,0.5349381566047668
1639055111.0376146,641,0.5349253416061401
1639055112.130819,651,0.5349094867706299
1639055113.0758605,661,0.534889280796051
1639055114.1703007,671,0.5348690748214722
1639055115.2967324,681,0.5348504185676575
1639055116.4722803,691,0.5348349213600159
1639055117.4347067,701,0.5348203182220459
1639055118.4616797,711,0.5348057746887207
1639055119.4645085,721,0.534790575504303
1639055120.4329355,731,0.5347729921340942
1639055121.445066,741,0.534754753112793
1639055122.4503944,751,0.5347358584403992
1639055123.6183155,761,0.5347164869308472
1639055124.5837836,771,0.5346975922584534
1639055125.5890954,781,0.5346819758415222
1639055126.8106787,791,0.5346689820289612
1639055127.7490666,801,0.534660279750824
1639055128.6840808,811,0.5346519947052002
1639055129.9278953,821,0.5346471071243286
1639055130.8902056,831,0.534643292427063
1639055131.9200659,841,0.534639835357666
1639055133.1869762,851,0.534636914730072
1639055134.3024807,861,0.5346375703811646
1639055135.3519914,871,0.5346388816833496
1639055136.3277137,881,0.5346421599388123
1639055137.5394475,891,0.5346478819847107
1639055138.5648534,901,0.5346534848213196
1639055139.5196214,911,0.5346581339836121
1639055140.679216,921,0.5346630811691284
1639055141.816302,931,0.5346670746803284
1639055142.7528222,941,0.5346707701683044
1639055143.7513537,951,0.5346758365631104
1639055144.942512,961,0.5346811413764954
1639055145.9248855,971,0.5346860289573669
1639055146.9528635,981,0.5346914529800415
1639055148.0970795,991,0.5346976518630981
1639055149.086895,1001,0.5347052216529846
1639055150.199919,1011,0.5347121953964233
1639055151.1782138,1021,0.5347192287445068
1639055152.3053343,1031,0.534726619720459
1639055153.327876,1041,0.5347362160682678
1639055154.241488,1051,0.5347461700439453
1639055155.2834656,1061,0.5347567200660706
1639055156.3027585,1071,0.5347679257392883
1639055157.1998758,1081,0.5347791314125061
1639055158.2279003,1091,0.5347891449928284
1639055159.2436926,1101,0.5347990989685059
1639055160.2356606,1111,0.534808337688446
1639055161.2325187,1121,0.5348184108734131
1639055162.193407,1131,0.5348283648490906
1639055163.2317724,1141,0.5348380208015442
1639055164.2645195,1151,0.534847617149353
1639055165.18403,1161,0.5348538160324097
1639055166.292387,1171,0.5348587036132812
1639055167.3723667,1181,0.5348650217056274
1639055168.3526523,1191,0.5348727703094482
1639055169.374404,1201,0.5348798632621765
1639055170.3333464,1211,0.5348854064941406
1639055171.4079819,1221,0.5348904728889465
1639055172.5126214,1231,0.5348960757255554
1639055173.50154,1241,0.5349003076553345
1639055174.6778696,1251,0.534905195236206
1639055175.7210836,1261,0.5349109768867493
1639055176.6353285,1271,0.5349164605140686
1639055177.6631835,1281,0.5349217057228088
1639055178.6849585,1291,0.5349262952804565
1639055179.6809776,1301,0.5349293947219849
1639055180.709739,1311,0.5349321961402893
1639055181.6224334,1321,0.5349346995353699
1639055182.7210064,1331,0.534935474395752
1639055183.7904882,1341,0.5349365472793579
1639055184.7508867,1351,0.5349380970001221
1639055185.7681508,1361,0.5349411368370056
1639055186.9084187,1371,0.5349449515342712
1639055187.906214,1381,0.5349491238594055
1639055188.8871634,1391,0.5349544286727905
1639055189.8841195,1401,0.5349603295326233
1639055190.8047545,1411,0.534967839717865
1639055192.0781593,1421,0.5349761247634888
1639055193.1161206,1431,0.5349843502044678
1639055194.07813,1441,0.5349929928779602
1639055195.0505295,1451,0.5350016355514526
1639055196.0121233,1461,0.5350119471549988
1639055197.0888317,1471,0.5350229740142822
1639055198.1320422,1481,0.5350340008735657
1639055199.0161066,1491,0.5350456237792969
1639055200.0511587,1501,0.535057008266449
1639055201.117547,1511,0.5350685715675354
1639055202.1537097,1521,0.5350801944732666
1639055203.1300979,1531,0.5350916981697083
1639055204.055423,1541,0.535103440284729
1639055205.1846082,1551,0.5351145267486572
1639055206.3480062,1561,0.5351248383522034
1639055207.306404,1571,0.5351354479789734
1639055208.2059987,1581,0.5351459980010986
1639055209.2380888,1591,0.5351555347442627
1639055210.2867875,1601,0.5351646542549133
1639055211.2372658,1611,0.5351738333702087
1639055212.342989,1621,0.5351824760437012
1639055213.293469,1631,0.5351904630661011
1639055214.441771,1641,0.5351981520652771
1639055215.3807926,1651,0.5352060794830322
1639055216.334754,1661,0.5352145433425903
1639055217.4612305,1671,0.5352230668067932
1639055218.402741,1681,0.5352314710617065
1639055219.3291485,1691,0.5352398157119751
1639055220.405316,1701,0.5352476239204407
1639055221.4655185,1711,0.5352552533149719
1639055222.446037,1721,0.5352625846862793
1639055223.4667687,1731,0.5352699160575867
1639055224.4631042,1741,0.5352770686149597
1639055225.5576875,1751,0.5352846384048462
1639055226.4509523,1761,0.5352926254272461
1639055227.3580713,1771,0.5353015661239624
1639055228.4892368,1781,0.5353104472160339
1639055229.3898282,1791,0.5353199243545532
1639055230.2584646,1801,0.5353296399116516
1639055231.2751737,1811,0.5353392958641052
1639055232.2001133,1821,0.5353490710258484
1639055233.1938398,1831,0.5353595018386841
1639055234.117877,1841,0.5353702306747437
1639055235.0517962,1851,0.5353813171386719
1639055236.0546215,1861,0.5353929400444031
1639055237.0865352,1871,0.535404622554779
1639055237.9781504,1881,0.5354160070419312
1639055238.9853132,1891,0.535427451133728
1639055240.0425074,1901,0.5354387164115906
1639055240.9341245,1911,0.5354498028755188
1639055241.9047787,1921,0.5354610681533813
1639055242.944929,1931,0.5354725122451782
1639055243.9327006,1941,0.5354838967323303
